Waterbody,StationDesc,Storet,DateCollected,County,Smplid,AlgalGroup,Genus,Species,Cell Density,Unit Density,Biovolume,Lat,Long
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,06/27/16,Bertie,11513-2016,Chlorophyta,Golenkinia,radiata,36,36,4,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,06/27/16,Bertie,11513-2016,Cryptophyta,Komma,caudata,3667,3667,367,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,06/27/16,Bertie,11513-2016,Chrysophyceae,Mallomonas,caudata,73,73,64,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,06/27/16,Bertie,11513-2016,Chlorophyta,Schroederia,setigera,36,36,1,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,06/27/16,Bertie,11513-2016,Chlorophyta,Selenastrum,spp.,73,73,1,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,06/27/16,Bertie,11513-2016,Bacillariophyceae,Skelotonema,potamos,182,36,11,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,06/27/16,Bertie,11513-2016,Chlorophyta,Spermatozoopsis,exultans,290,290,3,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,06/27/16,Bertie,11513-2016,Bacillariophyceae,Undetermined centric,spp.,182,182,25,36.04760,-76.69611
Chowan River,Chowan River nr Indian Crk Mouth,,07/20/16,CHOWAN,11526-2016,Cyanobacteria,Anabaena,planctonica,7842,1961,784,36.23500,-76.67000
Chowan River,Chowan River nr Indian Crk Mouth,,07/20/16,CHOWAN,11526-2016,Cyanobacteria,Chroococcus,spp.,4066,399,2,36.23500,-76.67000
Chowan River,Chowan River nr Indian Crk Mouth,,07/20/16,CHOWAN,11526-2016,Bacillariophyceae,Navicula,spp.,36,36,7,36.23500,-76.67000
Chowan River,Chowan River nr Indian Crk Mouth,,07/20/16,CHOWAN,11526-2016,Cyanobacteria,Pseudanabaena,spp.,436,36,4,36.23500,-76.67000
Chowan River,Chowan River nr Indian Crk Mouth,,07/20/16,CHOWAN,11526-2016,Chlorophyta,Schroederia,setigera,36,36,1,36.23500,-76.67000
Chowan River,Chowan River nr Indian Crk Mouth,,07/20/16,CHOWAN,11526-2016,Chlorophyta,Tetraedron,trigonum,36,36,1,36.23500,-76.67000
Chowan River,Chowan River nr Indian Crk Mouth,,07/20/16,CHOWAN,11526-2016,Bacillariophyceae,Undetermined centric,spp.,36,36,5,36.23500,-76.67000
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,07/20/16,Chowan,11778-2016,Cyanobacteria,Aphanocapsa,delicatissima,7116,290,0,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,07/20/16,Chowan,11778-2016,Cyanobacteria,Aphanothece,saxicola,363,73,1,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,07/20/16,Chowan,11778-2016,Bacillariophyceae,Aulacoseira,spp.,799,109,160,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,07/20/16,Chowan,11778-2016,Cyanobacteria,Chroococcus,spp.,73,36,0,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,07/20/16,Chowan,11778-2016,Prymnesiophyceae,Chrysochromulina,spp.,145,145,76,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,07/20/16,Chowan,11778-2016,Chlorophyta,Coelastrum,spp.,145,36,4,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,07/20/16,Chowan,11778-2016,Chlorophyta,Cosmarium,spp.,73,36,18,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,07/20/16,Chowan,11778-2016,Cryptophyta,Cryptomonas,spp.,73,73,95,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,07/20/16,Chowan,11778-2016,Chrysophyceae,Dinobryon,spp.,73,73,5,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,07/20/16,Chowan,11778-2016,Cryptophyta,Komma,caudata,218,218,22,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,07/20/16,Chowan,11778-2016,Chrysophyceae,Mallomonas,caudata,36,36,32,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,07/20/16,Chowan,11778-2016,Cyanobacteria,Pseudanabaena,spp.,1017,109,10,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,07/20/16,Chowan,11778-2016,Chlorophyta,Scenedesmus,quadricauda,145,36,7,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,07/20/16,Chowan,11778-2016,Chlorophyta,Selenastrum,spp.,36,36,0,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,07/20/16,Chowan,11778-2016,Chlorophyta,Spermatozoopsis,exultans,73,73,1,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,07/20/16,Chowan,11778-2016,Bacillariophyceae,Undetermined centric,spp.,109,109,15,36.20983,-76.72677
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Chlorophyta,Actinastrum,hantzschii,436,73,20,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Cyanobacteria,Aphanocapsa,delicatissima,726,36,0,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Bacillariophyceae,Aulacoseira,spp.,3050,545,610,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Cyanobacteria,Chroococcus,spp.,36,36,0,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Prymnesiophyceae,Chrysochromulina,spp.,508,508,266,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Cryptophyta,Cryptomonas,spp.,327,327,425,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Chrysophyceae,Dinobryon,spp.,73,73,5,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Pyrrhophyta,Gymnodinium,spp.,73,73,29,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Raphidophyceae,Heterosigma ,species,944,944,85,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Cryptophyta,Komma,caudata,1598,1598,160,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Chrysophyceae,Mallomonas,caudata,109,109,96,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Cyanobacteria,Polycystis,firma,9440,145,1,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Cyanobacteria,Pseudanabaena,spp.,3921,182,39,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Bacillariophyceae,Rhizosolenia,spp.,36,36,4,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Chlorophyta,Scenedesmus,bijuga,73,36,4,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Chlorophyta,Spermatozoopsis,exultans,290,290,3,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Euglenophyta,Trachelomonas,spp.,290,290,667,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,07/20/16,Bertie,11779-2017,Bacillariophyceae,Undetermined centric,spp.,254,254,36,36.04760,-76.69611
Chowan River,Chowan Riv nr Holiday Is,,08/10/16,CHOWAN,11543-2016,Cyanobacteria,Anabaena,planctonica,137930,4393,13793,36.13868,-76.72935
Chowan River,Chowan Riv nr Holiday Is,,08/10/16,CHOWAN,11543-2016,Bacillariophyceae,Aulacoseira,spp.,73,36,15,36.13868,-76.72935
Chowan River,Chowan Riv nr Holiday Is,,08/10/16,CHOWAN,11543-2016,Chlorophyta,Coelastrum,spp.,145,36,4,36.13868,-76.72935
Chowan River,Chowan Riv nr Holiday Is,,08/10/16,CHOWAN,11543-2016,Cryptophyta,Cryptomonas,spp.,508,508,660,36.13868,-76.72935
Chowan River,Chowan Riv nr Holiday Is,,08/10/16,CHOWAN,11543-2016,Chrysophyceae,Dinobryon,spp.,109,109,8,36.13868,-76.72935
Chowan River,Chowan Riv nr Holiday Is,,08/10/16,CHOWAN,11543-2016,Chlorophyta,Scenedesmus,quadricauda,73,36,4,36.13868,-76.72935
Chowan River,Chowan Riv nr Holiday Is,,08/10/16,CHOWAN,11543-2016,Chlorophyta,Schroederia,setigera,73,73,1,36.13868,-76.72935
Chowan River,Chowan Riv nr Holiday Is,,08/10/16,CHOWAN,11543-2016,Chlorophyta,Tetraedron,trigonum,36,36,1,36.13868,-76.72935
Chowan River,Chowan Riv nr Holiday Is,,08/10/16,CHOWAN,11543-2016,Euglenophyta,Trachelomonas,spp.,145,145,334,36.13868,-76.72935
Chowan River,Chowan Riv nr Holiday Is,,08/10/16,CHOWAN,11543-2016,Bacillariophyceae,Undetermined centric,spp.,36,36,5,36.13868,-76.72935
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/10/16,Chowan,11812-2017,Cyanobacteria,Aphanocapsa,delicatissima,109502,1888,5,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/10/16,Chowan,11812-2017,Bacillariophyceae,Aulacoseira,spp.,218,109,44,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/10/16,Chowan,11812-2017,Prymnesiophyceae,Chrysochromulina,spp.,36,36,19,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/10/16,Chowan,11812-2017,Cryptophyta,Cryptomonas,spp.,1053,1053,1369,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/10/16,Chowan,11812-2017,Chrysophyceae,Dinobryon,spp.,908,908,68,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/10/16,Chowan,11812-2017,Cryptophyta,Komma,caudata,145,145,14,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/10/16,Chowan,11812-2017,Chrysophyceae,Mallomonas,caudata,109,109,96,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/10/16,Chowan,11812-2017,Cyanobacteria,Pseudanabaena,spp.,145,36,1,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/10/16,Chowan,11812-2017,Chlorophyta,Schroederia,setigera,36,36,1,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/10/16,Chowan,11812-2017,Chlorophyta,Spermatozoopsis,exultans,363,363,4,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/10/16,Chowan,11812-2017,Euglenophyta,Trachelomonas,spp.,254,254,584,36.20983,-76.72677
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Cyanobacteria,Anabaena,planctonica,27557,799,2756,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Chlorophyta,Ankistrodesmus,falcatus,36,36,1,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Cyanobacteria,Aphanocapsa,delicatissima,726,36,0,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Bacillariophyceae,Aulacoseira,spp.,218,73,44,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Chlorophyta,Chlorogonium,spp.,36,36,1,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Cryptophyta,Cryptomonas,spp.,1307,1307,1699,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Cyanobacteria,Cylindrospermopsis,raciborskii,254,36,2,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Chlorophyta,Dictyosphaerium,pulchellum,145,36,4,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Chrysophyceae,Dinobryon,spp.,109,109,8,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Raphidophyceae,Heterosigma ,species,36,36,3,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Cryptophyta,Komma,caudata,109,109,11,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Cyanobacteria,Microcystis,aeruginosa,50104,109,1503,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Cyanobacteria,Pseudanabaena,spp.,5337,290,53,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Cyanobacteria,Raphidiopsis,spp.,182,36,2,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Chlorophyta,Scenedesmus,bijuga,36,36,2,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Chlorophyta,Spermatozoopsis,exultans,36,36,0,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Chrysophyceae,Synura,spp.,399,73,160,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Chlorophyta,Tetrastrum,heterocanthum,145,36,1,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Euglenophyta,Trachelomonas,spp.,73,73,168,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,08/10/16,Bertie,11813-2017,Bacillariophyceae,Undetermined centric,spp.,73,73,10,36.04760,-76.69611
Chowan River,CM 7 on Chowan Riv nr Colerain,,09/07/16,BERTIE,11557-2016,,,,,,,36.20984,-76.72672
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,11/30/16,Chowan,11814-2017,Cryptophyta,Cryptomonas,spp.,182,182,237,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,12/28/16,Chowan,11886-2017,,,,,,,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,01/17/17,Chowan,11892-2017,Cryptophyta,Komma,caudata,73,73,7,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,01/17/17,Chowan,11892-2017,Chlorophyta,Nephroselmis,species,508,508,15,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,01/17/17,Chowan,11892-2017,Chrysophyceae,Paulinella,ovalis,436,436,4,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,01/17/17,Chowan,11892-2017,Bacillariophyceae,Undetermined centric,spp.,7915,7915,1108,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,02/27/17,Chowan,12152-2017,Cryptophyta,Cryptomonas,spp.,399,399,519,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,02/27/17,Chowan,12152-2017,Pyrrhophyta,Heterocapsa,rotundata,36,36,9,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,02/27/17,Chowan,12152-2017,Cryptophyta,Komma,caudata,1706,1706,171,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,02/27/17,Chowan,12152-2017,Chrysophyceae,Mallomonas,akrokomos,36,36,5,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,02/27/17,Chowan,12152-2017,Euglenophyta,Trachelomonas,spp.,73,73,168,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,02/27/17,Chowan,12152-2017,Bacillariophyceae,Undetermined centric,spp.,36,36,5,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/27/17,Chowan,12153-2017,Chlorophyta,Ankistrodesmus,falcatus,36,36,1,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/27/17,Chowan,12153-2017,Cryptophyta,Cryptomonas,spp.,327,327,425,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/27/17,Chowan,12153-2017,Cryptophyta,Komma,caudata,327,327,33,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/27/17,Chowan,12153-2017,Chlorophyta,Nephroselmis,species,3594,3594,108,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/27/17,Chowan,12153-2017,Chrysophyceae,Paulinella,ovalis,1779,1779,18,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/27/17,Chowan,12153-2017,Chlorophyta,Spermatozoopsis,exultans,581,581,6,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/27/17,Chowan,12153-2017,Chrysophyceae,Synura,spp.,1489,73,596,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/27/17,Chowan,12153-2017,Bacillariophyceae,Undetermined centric,spp.,581,581,81,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,04/20/17,Chowan,12154-2017,Chlorophyta,Ankistrodesmus,falcatus,218,218,7,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,04/20/17,Chowan,12154-2017,Cyanobacteria,Aphanizomenon,spp.,799,36,11,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,04/20/17,Chowan,12154-2017,Bacillariophyceae,Chaetoceros,throndensenii,145,73,4,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,04/20/17,Chowan,12154-2017,Chrysophyceae,Dinobryon,spp.,36,36,3,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,04/20/17,Chowan,12154-2017,Cryptophyta,Komma,caudata,73,73,7,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,04/20/17,Chowan,12154-2017,Chrysophyceae,Mallomonas,akrokomos,36,36,5,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,04/20/17,Chowan,12154-2017,Chrysophyceae,Mallomonas,caudata,109,109,96,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,04/20/17,Chowan,12154-2017,Chlorophyta,Selenastrum,spp.,36,36,0,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,04/20/17,Chowan,12154-2017,Euglenophyta,Trachelomonas,spp.,36,36,83,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,04/20/17,Chowan,12154-2017,Bacillariophyceae,Undetermined centric,spp.,254,254,36,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,05/10/17,Chowan,12155-2017,Chlorophyta,Ankistrodesmus,falcatus,36,36,1,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,05/10/17,Chowan,12155-2017,Chlorophyta,Coelastrum,spp.,145,36,4,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,05/10/17,Chowan,12155-2017,Cryptophyta,Komma,caudata,109,109,11,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,05/10/17,Chowan,12155-2017,Chrysophyceae,Mallomonas,caudata,36,36,32,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,05/10/17,Chowan,12155-2017,Bacillariophyceae,Skelotonema,potamos,73,36,4,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,05/10/17,Chowan,12155-2017,Chlorophyta,Spermatozoopsis,exultans,218,218,2,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,05/10/17,Chowan,12155-2017,Bacillariophyceae,Undetermined centric,spp.,73,73,10,36.20983,-76.72677
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,06/12/17,Bertie,11953-2017,Cyanobacteria,Anabaena,planctonica,55441,2578,5544,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,06/12/17,Bertie,11953-2017,Chlorophyta,Ankistrodesmus,falcatus,36,36,1,36.04760,-76.69611
